 1218.53697 12056.33045 10355.21098  7462.00117  6658.85395  6720.38018  8344.56908 12581.03271  8823.08482  6425.58896  8748.95441  6113.91440  5242.41702  6817.19755  6980.47016  8723.66720 10660.10612  6674.39864 10557.23490 11394.30278 10199.11421  7449.70420  5399.71319  5795.50783  7950.22412 11845.80532  8555.23430  6002.83690  7039.56614  6910.63603 11043.44312  6882.41997 10197.96536  9782.08594  9788.53820 15648.19238  7698.36768  6296.82850  8814.82418 11625.17836 14501.93675 12546.79880  7894.19124 10908.38682 15850.22137 15683.34778 10489.53572  4701.43635  7411.40307 11986.30700  7022.92868  7768.58150 11341.10871 10209.56765  8024.29783 11056.19895 10671.24320  6687.77238 11754.73512 15881.91354 16408.91483 18467.00388  9509.49967 12706.23900 11331.80374 14387.75709 10214.65632 16618.94208 21747.77892 19159.30140 12578.56401 11854.60077 12699.89366 12313.32252  5604.12187 10950.95976 11046.72750  5907.61946  9798.03104 16163.03901 15518.13534  9984.86099  3236.60239  6410.13652 11142.13960  6223.17512  7130.79679 10465.56016 10230.67223  7168.41155 13064.21507 11693.88915  6764.39683 12031.81389 15878.06464 16135.98208 19385.99251  9280.92118 12778.45877 11026.11714 14427.67559  9059.79369 17157.56941 22617.00937 20170.29171 11399.18241 13130.77639 11962.39252 11126.78560  5096.50579 10824.30243 10896.54173 
 1211.54315 12028.54138 10359.62050  7353.19990  6587.39561  6649.63805  8229.42130 12629.95404  8754.84961  6423.91559  8751.00131  6078.46304  5203.18390  6793.96590  6868.70319  8727.96679 10626.19434  6666.72963 10512.37407 11365.98479 10223.75483  7383.73672  5344.27877  5737.30416  7835.56911 11832.05410  8551.77481  5908.51062  7000.29249  6845.26568 10956.55241  6859.42560 10115.03063  9554.05127  9773.91002 16454.00586  8257.78174  6291.97169  8938.93513 11534.09996 14385.21417 12488.01379  7828.35979 10866.41853 15768.66636 15690.97981 10413.88277  4604.49441  7327.60800 11954.89715  6942.51264  7733.73222 11307.41726 10137.99025  7991.81488 11025.71991 10640.56500  6593.76336 11700.40514 15813.44038 16408.03074 18321.65272  9496.86522 12609.62998 11296.99127 14331.20391 10196.31492 16611.87387 21727.36634 19050.07843 12558.31641 11777.97839 12681.19609 12547.04492  5442.49203 10945.05831 10993.94258  5753.59512  9738.41848 16082.54804 15567.20380  9918.09285  3124.45187  6356.65122 11110.39703  6124.27432  7124.53208 10432.56537 10168.30582  7206.34719 12994.81348 11541.30815  6758.02302 11997.20114 15845.62283 16059.77979 19326.94895  9258.25958 12701.62326 10990.84081 14374.60105  9042.39590 17106.77074 22566.78060 20088.40236 11362.67523 13028.55424 11920.20543 11018.92624  5002.33006 10946.39578 10792.50728 
 1210.51112 12079.30237 10293.57689  7348.57480  6662.69519  6701.40571  8364.46772 12581.27639  8792.45396  6467.22013  8740.48881  6139.80381  5233.16469  6882.02251  7026.73317  8842.78036 10728.14583  6699.52169 10635.93092 11423.08539 10206.02745  7421.23701  5367.62233  5761.91914  8013.54193 11926.07171  8565.26447  5883.77343  7059.34238  6942.16428 11003.53882  6842.50631 10059.93595  9449.24170  9746.08190 16883.89648  7789.60327  6363.22530  8952.28240 11654.14272 14573.39506 12456.63403  7899.43396 10896.99787 15813.76367 15741.70147 10410.95014  4649.80409  7318.12087 12051.60278  6917.88605  7823.65405 11334.10737 10156.73360  8030.76054 11029.99654 10658.36266  6689.30971 11824.30593 15933.18209 16547.34330 18572.61150  9511.67406 12651.45435 11373.94038 14389.73022 10271.24657 16518.88393 21707.92541 19025.30755 12589.14934 11864.61586 12789.61905 12328.75786  5485.68649 10968.54867 11010.62390  5753.62553  9768.99812 16143.06208 15567.10553  9953.70517  3097.77498  6391.19644 11216.39178  6122.23152  7143.10167 10476.59889 10127.06487  7207.87472 13018.18883 11652.23974  6834.00456 12058.30177 16003.59978 16209.95013 19609.61493  9252.62134 12777.57299 11076.84539 14474.67297  9105.70402 17042.16499 22729.46431 20114.36235 11457.94583 13157.67712 12054.46963 11096.38771  5123.20916 10824.65664 10882.13076 
 1215.91443 12075.82450 10294.38786  7531.15312  6669.81466  6724.86308  8373.67120 12532.52801  8847.81824  6505.25302  8727.46555  6089.27685  5237.53807  6838.25766  6949.51588  8694.27108 10785.36133  6722.11931 10589.28898 11420.94157 10168.40792  7335.92139  5418.12291  5803.19397  7989.21408 11912.11963  8570.56168  6026.42620  7019.55827  6912.73057 11034.46672  6867.85269 10090.48264  9583.79980  9796.49430 16100.20410  7395.00781  6303.53708  8715.34316 11657.85589 14497.45020 12528.03560  7803.56158 10917.17196 15847.95123 15709.75932 10501.62451  4692.19723  7393.76058 12026.46695  6998.56995  7806.33615 11344.44718 10173.35026  8045.52221 11011.91329 10690.36002  6690.19746 11823.03736 15881.80740 16560.05492 18513.80259  9507.67181 12689.62959 11328.36968 14381.01044 10250.59327 16644.22241 21741.62543 19147.84761 12586.62165 11854.95796 12705.54203 12208.07009  5601.54783 10997.32229 11075.46947  5843.38830  9773.43052 16168.00429 15521.00180  9990.91077  3251.48207  6408.16916 11179.29892  6205.62641  7141.25370 10491.72928 10220.54325  7202.22804 13061.70192 11677.98372  6867.02974 12095.34316 15967.37615 16210.34576 19529.51263  9277.22239 12771.69932 11046.39971 14444.94577  9083.11002 17068.88573 22661.57298 20170.23643 11416.70738 13142.93421 11967.68679 11118.46786  5077.40928 10874.98565 10925.93353 
 1220.03447 12084.11622 10393.61789  7585.41318  6655.21063  6713.95345  8321.53121 12691.71404  8814.82027  6497.98455  8842.95926  6124.32398  5240.07216  6855.57224  6978.21414  8754.97394 10731.47233  6712.72802 10569.60030 11416.18927 10237.20714  7310.65566  5403.85936  5799.11559  7962.00074 11875.25718  8559.16239  6038.06292  7078.96989  6951.69481 10965.25106  6877.26633 10168.80306  9733.11182  9800.87078 16386.00586  7765.40845  6333.42373  8927.19514 11645.38497 14588.53839 12555.72122  7960.09377 10925.68160 15840.67830 15737.40518 10541.67277  4648.74449  7360.81671 12024.70878  6993.90328  7811.23698 11382.59835 10155.37347  8046.59699 11018.33092 10694.35494  6639.44255 11833.23771 15869.01628 16532.76213 18504.08050  9563.35715 12645.56014 11353.30140 14382.94683 10284.78744 16718.95148 21875.32308 19126.04892 12651.66434 11877.01550 12737.72927 12531.53993  5537.33805 10988.48852 11065.70538  5901.27697  9755.93411 16182.74373 15569.25725  9996.51595  3170.28102  6400.14030 11195.78726  6200.91299  7150.78366 10499.02839 10223.12588  7250.92992 13070.63505 11663.36818  6815.69433 12076.30191 15911.04186 16219.87992 19397.68353  9277.04287 12792.65387 11059.54511 14451.33436  9103.49983 17208.72527 22687.26310 20182.69050 11446.28219 13101.25320 11964.40456 11100.17179  5019.02727 10827.92086 10857.55710 
 1211.89809 12076.68942 10314.49299  7465.42754  6676.03228  6733.94320  8328.66502 12647.86136  8772.20697  6445.82809  8794.50510  6173.32851  5218.74085  6847.67873  7056.89920  8755.96254 10648.17057  6644.63338 10604.65849 11413.99607 10227.36912  7452.33164  5364.40146  5781.96762  7969.93080 11952.26150  8530.93910  5956.16397  7076.48758  6979.55227 11024.53483  6811.49802 10068.86421  9476.43262  9819.20783 17113.39258  7723.86841  6366.19161  9012.09560 11589.61572 14608.50038 12523.95906  7918.66089 10910.32960 15764.24467 15697.26195 10440.14582  4654.06267  7317.17243 12015.13270  6917.96021  7821.10838 11372.62562 10136.55209  8008.15349 10981.39109 10650.21111  6662.92670 11838.10900 15933.12155 16549.00076 18559.87449  9496.21549 12642.29426 11410.45515 14350.46655 10263.70666 16531.71260 21666.67021 18967.25866 12586.52194 11871.71448 12752.72344 12346.81438  5438.62591 10935.38410 11057.82820  5753.44135  9738.02806 16106.48224 15482.45704  9952.15357  3097.07716  6379.37518 11178.75077  6094.30616  7127.94699 10510.03560 10128.63203  7230.04301 12983.43503 11660.53606  6807.35256 12056.47865 15989.65939 16173.49719 19552.52313  9268.70902 12793.68799 11061.31904 14456.41338  9102.08793 17077.05493 22690.37387 20078.57552 11449.66919 13107.12163 11996.75329 11123.96095  5092.39837 10971.51983 10871.70028 
 1210.08150 12026.68532 10306.35355  7564.78525  6621.64198  6719.51471  8342.25592 12510.55629  8797.60551  6408.34396  8742.81529  6092.75811  5225.31232  6865.31387  7026.27858  8808.34490 10614.36610  6637.14834 10635.34936 11385.14529 10222.79691  7472.40127  5370.94121  5782.29606  7974.01263 11834.70038  8502.95524  5995.29607  7050.99121  6905.60716 10931.51953  6799.19843 10102.38039  9498.52979  9791.82047 16195.54883  7617.50488  6285.87161  8818.62549 11718.29185 14723.66707 12453.69897  7857.74131 10837.65170 15792.16795 15593.38368 10390.86877  4761.98940  7357.34519 11914.23322  6956.51961  7753.45793 11299.80626 10123.57639  8001.40105 10981.48196 10653.69703  6672.90708 11805.26024 15839.07611 16408.05276 18428.62577  9463.76660 12604.13684 11283.74991 14295.98301 10178.08034 16476.10367 21496.04111 18975.84577 12527.72172 11860.53538 12668.70167 12107.90544  5604.79760 10946.92751 11023.84171  5894.26613  9747.43211 16050.49186 15412.17764  9902.59936  3238.02533  6415.20438 11071.72289  6148.33298  7080.99435 10456.47574 10176.90649  7179.76959 12990.55340 11658.33776  6836.06904 12029.72885 15942.08720 16123.38020 19387.05758  9228.38044 12717.69713 10981.37124 14419.27624  9048.07489 16915.92970 22492.91729 20021.76612 11360.52180 13128.51215 11937.56694 11076.36193  5059.60623 10809.51263 10848.89390 
 1211.35514 12023.47195 10350.32904  7606.68213  6618.26180  6682.75572  8280.70636 12555.38542  8793.92869  6499.23180  8706.38976  6063.79675  5220.22020  6820.40282  6958.52919  8742.27247 10733.18761  6734.49489 10634.59435 11364.58623 10255.60566  7309.19805  5369.79680  5768.61691  7906.98244 11803.15995  8514.40739  5968.46837  7014.51226  6971.23551 10993.41146  6904.63860 10145.78343  9679.24951  9726.06270 15758.25879  7774.84644  6205.18587  8629.39666 11551.76228 14367.03546 12421.99321  7869.81509 10858.33025 15809.07157 15657.97556 10450.68381  4706.74328  7365.17278 11922.76277  6966.39580  7747.87438 11314.47950 10109.59427  7973.53691 10952.94853 10638.39167  6671.27646 11700.32729 15813.64681 16286.55074 18408.82026  9491.51061 12607.89511 11317.75275 14335.02795 10196.77724 16549.73338 21669.08864 19066.25590 12563.01712 11854.00023 12734.99989 12411.90067  5616.59990 10876.15299 11017.46604  5917.61561  9714.51889 16130.08332 15418.57804  9912.68832  3190.25766  6379.99967 11098.29492  6160.00929  7084.15222 10433.47946 10193.97025  7161.58986 12906.18778 11616.89056  6899.33719 12010.23300 15886.15648 16090.04757 19370.48911  9205.56950 12692.66066 11037.19090 14416.28753  9044.72826 17033.44757 22497.96756 20032.11825 11393.78473 13068.09479 11946.77786 10980.91603  5051.47667 10767.49039 10851.18799 
 1205.24559 12013.98916 10349.26260  7479.50508  6577.25484  6616.09586  8210.21509 12553.34406  8758.15702  6421.14036  8746.16708  6074.16415  5158.86830  6784.54194  6970.43554  8703.24004 10783.74099  6688.75631 10488.17995 11347.23089 10240.77797  7229.89199  5328.79809  5721.84058  7829.35397 11782.43217  8524.07528  5899.05632  7000.04432  6944.96202 10875.91846  6843.80027 10112.41983  9738.55518  9722.39195 16544.38477  7553.66943  6215.71354  8515.12040 11454.82561 14281.95132 12484.90588  7768.53655 10881.82861 15725.75010 15720.22035 10413.88128  4567.56966  7290.53679 11925.75702  6898.91013  7709.70612 11300.82097 10103.25700  7931.27009 10947.15164 10620.03070  6629.10196 11683.13581 15776.49429 16349.10354 18332.42055  9441.87851 12560.27531 11328.59284 14299.63958 10203.34643 16552.80757 21677.94245 18974.68981 12561.08693 11786.34537 12740.48168 12510.60861  5472.99795 10958.17993 10993.51555  5722.40803  9613.78947 16086.82201 15453.55357  9912.85856  3061.50394  6342.76810 11081.10192  6081.13065  7061.94171 10413.93833 10127.33865  7160.28922 12868.59852 11489.40899  6779.34887 11986.01367 15885.23265 16076.89372 19354.54467  9201.77606 12629.56526 10987.35064 14403.74610  9050.16986 17044.96141 22495.08679 19967.65350 11423.61764 12959.47971 11951.64201 10971.59000  4990.17628 10821.98579 10826.64190 
 1204.66621 12039.32383 10303.07037  7411.20879  6646.93956  6658.73063  8283.18233 12579.46032  8780.31692  6413.17434  8808.73914  6196.72029  5210.04137  6775.86527  6983.80744  8684.78696 10743.38542  6655.33704 10572.64434 11378.61150 10193.08872  7245.22764  5343.84999  5731.39562  7877.67916 11838.91977  8504.15195  5889.45299  7011.27299  6919.79299 10947.10075  6824.89914 10015.28044  9558.65137  9785.97354 16849.22656  7540.35742  6296.23517  8832.80026 11594.72112 14637.76562 12517.71155  7770.62170 10882.12256 15755.44651 15703.68050 10356.72981  4612.60147  7312.87739 11957.79884  6894.90590  7711.05745 11304.35916 10128.42211  7936.74685 10939.07815 10588.77502  6614.12543 11708.06912 15885.85813 16531.03511 18496.77955  9431.83978 12614.70442 11362.13318 14299.66533 10190.61265 16453.59098 21618.00496 18930.98690 12537.45953 11828.37326 12783.98951 12198.92038  5461.48621 10925.91445 11053.64960  5759.30350  9695.61096 16036.49480 15457.79695  9907.64647  3131.72178  6372.85911 11118.44023  6095.09775  7067.70245 10445.76774 10130.44416  7175.81353 12919.98299 11559.73961  6800.59592 12008.69838 15936.27010 16100.71142 19551.25355  9204.17306 12668.40833 11032.46416 14467.36206  9044.87684 16964.87223 22602.12768 19977.41594 11406.38021 13074.74946 12008.08260 10988.02066  5066.95617 10894.15076 10869.31454 
